66|22
76|63
76|38
88|43
88|76
88|83
38|98
38|77
38|22
38|75
12|82
12|73
12|93
12|56
12|41
67|26
67|43
67|47
67|92
67|66
67|86
62|56
62|66
62|24
62|41
62|58
62|36
62|79
54|82
54|66
54|93
54|14
54|15
54|58
54|83
54|26
15|41
15|72
15|71
15|65
15|75
15|98
15|67
15|38
15|19
65|44
65|88
65|71
65|78
65|74
65|19
65|36
65|77
65|98
65|38
73|26
73|86
73|22
73|88
73|74
73|44
73|89
73|78
73|19
73|43
73|77
63|23
63|62
63|12
63|67
63|44
63|42
63|85
63|43
63|11
63|83
63|26
63|54
22|11
22|88
22|75
22|69
22|43
22|86
22|78
22|72
22|47
22|85
22|54
22|42
22|23
46|85
46|57
46|76
46|24
46|38
46|62
46|37
46|93
46|79
46|65
46|15
46|12
46|48
46|11
69|79
69|48
69|56
69|24
69|98
69|58
69|36
69|37
69|76
69|63
69|95
69|89
69|38
69|65
69|57
23|69
23|74
23|78
23|58
23|48
23|57
23|86
23|83
23|14
23|88
23|47
23|82
23|92
23|12
23|11
23|62
33|23
33|79
33|98
33|19
33|86
33|88
33|42
33|41
33|36
33|56
33|67
33|78
33|73
33|65
33|77
33|75
33|37
92|83
92|15
92|82
92|76
92|95
92|79
92|47
92|74
92|66
92|57
92|48
92|33
92|12
92|46
92|85
92|69
92|62
92|14
72|83
72|86
72|78
72|85
72|47
72|11
72|23
72|57
72|69
72|62
72|74
72|67
72|54
72|75
72|92
72|44
72|88
72|46
72|42
98|23
98|63
98|43
98|78
98|54
98|75
98|92
98|74
98|86
98|71
98|67
98|72
98|77
98|83
98|89
98|42
98|88
98|11
98|12
98|46
77|26
77|54
77|75
77|42
77|14
77|47
77|62
77|12
77|74
77|69
77|67
77|86
77|11
77|22
77|46
77|92
77|85
77|78
77|44
77|88
77|23
56|72
56|92
56|74
56|26
56|67
56|78
56|75
56|44
56|63
56|88
56|46
56|89
56|83
56|42
56|98
56|14
56|71
56|19
56|23
56|86
56|43
56|54
14|82
14|66
14|38
14|95
14|15
14|41
14|69
14|85
14|47
14|12
14|62
14|37
14|24
14|79
14|11
14|57
14|36
14|48
14|76
14|33
14|73
14|58
14|65
86|12
86|58
86|62
86|95
86|76
86|14
86|15
86|92
86|85
86|54
86|47
86|66
86|82
86|83
86|46
86|26
86|69
86|43
86|74
86|24
86|57
86|78
86|11
86|48
41|86
41|72
41|36
41|89
41|78
41|98
41|43
41|42
41|19
41|23
41|56
41|92
41|63
41|73
41|67
41|37
41|88
41|44
41|75
41|65
41|22
41|71
41|38
41|77
11|93
11|57
11|41
11|58
11|95
11|69
11|15
11|38
11|73
11|37
11|85
11|82
11|56
11|65
11|76
11|24
11|33
11|79
11|62
11|48
11|36
11|47
11|19
11|66
82|63
82|71
82|19
82|65
82|41
82|44
82|73
82|95
82|79
82|38
82|37
82|98
82|93
82|56
82|36
82|77
82|33
82|75
82|24
82|15
82|72
82|48
82|89
82|22
79|22
79|88
79|86
79|38
79|63
79|42
79|72
79|67
79|23
79|56
79|98
79|77
79|43
79|71
79|41
79|36
79|44
79|73
79|37
79|75
79|89
79|78
79|19
79|65
58|89
58|65
58|98
58|63
58|93
58|95
58|24
58|33
58|15
58|77
58|71
58|48
58|82
58|41
58|19
58|38
58|66
58|79
58|73
58|57
58|56
58|36
58|76
58|37
85|58
85|15
85|36
85|38
85|41
85|76
85|57
85|95
85|82
85|33
85|71
85|66
85|93
85|24
85|56
85|37
85|79
85|48
85|19
85|73
85|69
85|98
85|47
85|65
19|98
19|86
19|78
19|83
19|22
19|14
19|63
19|72
19|42
19|23
19|74
19|67
19|44
19|26
19|54
19|71
19|77
19|89
19|12
19|43
19|92
19|75
19|88
19|46
74|66
74|24
74|14
74|93
74|46
74|83
74|48
74|47
74|15
74|82
74|41
74|58
74|62
74|54
74|57
74|26
74|85
74|11
74|33
74|95
74|12
74|79
74|69
74|76
71|63
71|11
71|22
71|67
71|46
71|14
71|74
71|89
71|86
71|72
71|12
71|77
71|42
71|92
71|78
71|23
71|62
71|88
71|83
71|26
71|75
71|44
71|43
71|54
42|78
42|85
42|14
42|48
42|26
42|74
42|46
42|69
42|47
42|54
42|57
42|62
42|66
42|76
42|43
42|92
42|86
42|15
42|12
42|58
42|11
42|95
42|82
42|83
83|57
83|36
83|46
83|24
83|79
83|82
83|93
83|47
83|48
83|95
83|26
83|14
83|58
83|12
83|69
83|33
83|85
83|66
83|15
83|41
83|62
83|65
83|76
83|11
57|56
57|95
57|65
57|89
57|33
57|38
57|98
57|93
57|24
57|48
57|82
57|63
57|19
57|79
57|37
57|66
57|73
57|22
57|71
57|77
57|41
57|36
57|76
57|15
24|93
24|63
24|23
24|88
24|75
24|98
24|56
24|73
24|79
24|36
24|77
24|42
24|72
24|44
24|65
24|33
24|41
24|37
24|19
24|71
24|38
24|22
24|89
24|67
48|63
48|93
48|19
48|73
48|67
48|36
48|22
48|38
48|33
48|56
48|44
48|24
48|77
48|72
48|37
48|79
48|98
48|71
48|95
48|15
48|41
48|75
48|89
48|65
95|33
95|19
95|24
95|44
95|72
95|79
